Artikelnummer;Bezeichnung;EAN;NETTO
718140;Alien Blut;4002299181404;1.39
718203;Wimpern Echthaar Elegance;4002299182036;2.79
718215;Wimpernkleber;4002299182159;1.7
718220;Federwimpern, 10 Stk., Display;4002299182203;29.9
718221;Federwimpern pink;4002299182210;2.99
718222;Federwimpern rot;4002299182227;2.99
718223;Federwimpern schwarz;4002299182234;2.99
718224;Federwimpern weiß;4002299182241;2.99
718225;Federwimpern blau;4002299182258;2.99
718226;Federwimpern gelb;4002299182265;2.99
718227;Federwimpern grün;4002299182272;2.99
718228;Federwimpern orange;4002299182289;2.99
718303;Wimpern Echthaar Spezial;4002299183033;2.79
718403;Wimpern Echthaar Legende;4002299184030;2.79
718510;Wimpern Flowers, 10 Stk., Display;4002299185105;29.9
718540;Wimpern Perlen, 10 Stk., Display;4002299185402;29.9
718603;Wimpern Echthaar Superlang;4002299186034;2.79
718703;Wimpern Echthaar Duett;4002299187031;2.79
718800;Wimpern Hippie;4002299188007;2.79
718810;Wimpern Fan schwarz-rot-gold, 10 Stk., Display;4002299188106;29.9
718813;Fan Wimpern schwarz-rot-gold;4002299188137;2.99
718820;Wimpern Indian Summer;4002299188205;2.98
718830;Wimpern Fantasie Dark Angel;4002299188304;2.99
718831;Wimpern Fantasie Cleopatra;4002299188311;2.99
718851;STAR Lashes rosa;4002299188519;2.99
718853;STAR Lashes schwarz;4002299188533;2.99
718856;STAR Lashes rosa-gelb;4002299188564;2.99
718857;STAR Lashes rosa-grün;4002299188571;2.99
718862;STAR Lashes rot-braun;4002299188625;2.99
718863;STAR Lashes rot;4002299188632;2.99
718867;STAR Lashes grün-schwarz;4002299188670;2.99
718873;STAR Lashes braun;4002299188731;2.99
718901;Artlashes Totenkopf schwarz;4002299189011;2.99
718902;Artlashes Fledermaus schwarz;4002299189028;2.99
718903;Artlashes Katze schwarz;4002299189035;2.99
718904;Artlashes Schmetterling schwarz;4002299189042;2.99
718905;Artlashes Weihnachten;4002299189059;2.99
719005;Liquid Latex 34ml ;4002299190055;1.92
719010;Fixierspray 50ml;4002299190109;2.67
719015;Mastix Hautkleber ;4002299190154;1.94
719020;Skin Wax - Fake Blood;4002299190208;2.2
719021;Bloody Fang (Gebiss mit Blutkapseln);4002299190215;1.55
719210;Horror Make-up Set;4002299192103;4.11
720151;Schminkschablone Kroko;4002299201515;1.45
720152;Schminkschablone Leo;4002299201522;1.45
720153;Schminkschablone Symbole;4002299201539;1.45
720200;Hair Hotfix Neon;4002299202000;2.01
720210;Hair Hotfix Metallic;4002299202109;2.01
722600;Karneval Thekendisplay groß;4002299226006;213.83
722650;Karneval Thekendisplay mini;4002299226501;92.76
722670;Fan Thekendisplay mini;4002299226709;98.5
722680;Fan Thekendisplay groß;4002299226808;233.55
722700;Karneval Bodendisplay klein;4002299227003;347.95
722800;Aqua Thekendisplay groß;4002299228000;171.81
722950;Neon Thekendisplay mini;4002299229502;61.35
725100;Karneval Bodendisplay groß;4002299251008;479.2
731015;Abschminke, 20 Stk., Display;4002299310156;26.6
731516;6 Schminkstifte m. Spitzer, 20 Stk., Display;4002299315168;38
731517;6 Schminkstifte HW, 20 Stk., Display;4002299315175;36.8
731616;Theater Blut, 20 Stk., Display;4002299316165;23
731717;Zahnschwarz/gold, 20 Stk., Display;4002299317179;29.4
732018;5 Schminkstifte m. Spitzer, 20 Stk., Display;4002299320186;34
732020;Pastellstifte mit Spitzer, 20 Stk., Display;4002299320209;34
732100;Naildesigner Karneval, 40 Stk., Display;4002299321008;30.8
732110;Naildesigner Fan, 40 Stk., Display;4002299321107;30.8
732130;8 Schminkstifte m. Abschminke, 10 Stk., Display;4002299321305;29.2
732255;Aqua Easy Liner, 36 Stk., Display;4002299322555;37.8
732256;Aqua Make-up, 20 Stk., Display;4002299322562;34.6
733015;Wimpernkleber, 20 Stk., Display;4002299330154;34
733025;Mastix Hautkleber, 24 Stk., Display;4002299330253;46.56
733035;Fan Tattoos, 25 Stk., Display;4002299330352;15.75
733040;Horror Tattoos, 30 Stk., Display;4002299330406;18.9
733056;Glitterstifte m. Spitzer, 20 Stk., Display;4002299330567;37.6
733070;Fan Maker, 10 Stk., Display;4002299330703;18.5
733080;Pocket Colors, 25 Stk., Display;4002299330802;14
733092;Zombie Bodyspray, 20 Stk., Display;4002299330925;59
733094;6 Schminkstifte Regenbogen, 20 Stk., Display;4002299330949;38
733100;Wimpern Fantasie, 10 Stk., Display;4002299331007;29.9
733126;Clown Weiß, 20 Stk., Display;4002299331267;33.2
733156;Trio Glitter, 20 Stk., Display;4002299331564;36
733200;Blutspray, 20 Stk., Display;4002299332004;48.8
733290;Crystal Tears, 40 Stk., Display;4002299332905;54
733318;Hair Flash Haargel, 20 Stk., Display;4002299333186;26.6
733456;Action-Gel Glitter, 20 Stk., Display;4002299334565;39
733461;Glitter Make-up, 20 Stk., Display;4002299334619;31.4
733516;12 Schminkstifte, 10 Stk., Display;4002299335166;31.3
733610;Fan Sticker Classic, 25 Stk., Display;4002299336101;82.25
733620;Fan Sticker Unicorn, 25 Stk., Display;4002299336200;43.75
733630;Fan Diamonds, 40 Stk., Display;4002299336309;54
733640;Fan Brows, 20 Stk., Display;4002299336408;48.4
733850;STAR Lashes, 10 Stk., Display;4002299338501;29.9
733855;STAR Lashes, 10 Stk., Display;4002299338556;29.9
733950;Artlashes, 10 Stk., Display;4002299339508;29.9
734216;Schmink-Sets,10 Stk., Display;4002299342164;24.6
734217;Schmink-Sets,10 Stk., Display;4002299342171;24.6
734416;Theaterschminke, 20 Stk., Display;4002299344168;33.2
735316;Super Maler, 20 Stk., Display;4002299353160;41.2
737217;Fingernägel Neon, 20 Stk., Display;4002299372178;30.4
739003;Wimpern Echthaar, 10 Stk., Display;4002299390035;27.9
742100;Naildesigner HW, 40 Stk., Display;4002299421005;32
742500;Halloween SB Bodenständer;4002299425003;566.83
742600;Halloween Thekendisplay groß;4002299426000;190.9
742650;Halloween Thekendisplay mini;4002299426505;90.98
742700;Halloween Bodendisplay klein;4002299427007;309.29
743200;Bloody Crystals/Black Tears, 40 Stk., Display;4002299432001;54
743210;Bloody Crystals;4002299432100;1.35
743220;Black Tears;4002299432209;1.35
746100;Color Sprays HW, 30 Stk., Display;4002299461001;45
746850;Naildesigner Halloween ;4002299468505;0.8
747116;6 Schminkstifte Halloween mit Spitzer;4002299471161;1.84
747300;Nasenplastilin, 10 Stk., Display;4002299473004;18.9
747320;Nasenplastilin;4002299473202;1.89
747400;Cracked Skin, 20 Stk., Display;4002299474001;38.6
747800;Schmink-Sets HW, 10 Stk., Display;4002299478009;24.6
747827;Schmink-Set Vampir;4002299478276;2.46
747841;Schmink-Set Kürbis;4002299478412;2.46
747842;Schmink-Set Skelett;4002299478429;2.46
747843;Schmink-Set Hexe;4002299478436;2.46
747844;Schmink-Set Frankenstein;4002299478443;2.46
748118;Super Maler Halloween;4002299481184;2.06
748120;Super Maler HW, 20 Stk., Display;4002299481207;41.2
748798;Aqua Easy Pen Box Halloween;4002299487988;4.35
749002;Theaterschminke rot Halloween;4002299490025;1.66
749003;Theaterschminke schwarz Halloween;4002299490032;1.66
749004;Theaterschminke weiß Halloween;4002299490049;1.66
749007;Theaterschminke grün Halloween;4002299490070;1.66
749009;Theaterschminke orange Halloween;4002299490094;1.66
749010;Theaterschminke silber Halloween;4002299490100;1.66
749100;Theaterschminke HW, 20 Stk., Display;4002299491008;33.2
749816;Theater Schminkpalette Halloween;4002299498168;4.49
750050;Glitterline Glitter Spray silber;4002299500502;1.5
750051;Glitterline Glitter Spray gold;4002299500519;1.5
750056;Glitterline Glitter Spray bunt;4002299500564;1.5
750060;Glitterline Glitter Spray, 30 Stk., Display;4002299500601;45
750600;Glitterline Thekendisplay groß;4002299506009;237.79
750650;Glitterline Thekendisplay mini;4002299506504;100.63
750700;Crystal Brows, 20 Stk., Display ;4002299507006;48.4
750710;Crystal Brows crystal;4002299507105;2.42
750720;Crystal Brows regenbogen;4002299507204;2.42
750758;5 Glitterstifte bunt mit Spitzer;4002299507587;1.88
750780;5 Glitterstifte bunt m. Spitzer, 20 Stk., Display;4002299507808;37.6
750890;Crystal Lids crystal;4002299508904;0.99
750891;Crystal Lids regenbogen;4002299508911;0.99
750899;Crystal Lids, 40 Stk., Display;4002299508997;39.6
760007;Karneval SB Bodenständer;4002299600073;597.63
760100;Karneval SB Drahtdisplay;4002299601001;1352.37
777200;5 Schminkstifte Natur, 10 Stk., Display;4002299772008;28
777218;5 Schminkstifte Natur;4002299772183;2.8
799630;Aqua Schminkset Halloween;4002299996305;2.35
799631;Aqua Schminkset Pirat;4002299996312;2.35
799632;Aqua Schminkset Hexe;4002299996329;2.35
799633;Aqua Schminkset Indianer;4002299996336;2.35
799634;Aqua Schminkset Safari;4002299996343;2.35
799635;Aqua Schminkset Fuchs;4002299996350;2.35
799636;Aqua Schminkset Drache;4002299996367;2.35
799637;Aqua Schminkset Fledermaus;4002299996374;2.35
799638;Aqua Schminkset Schmetterling;4002299996381;2.35
799639;Aqua Schminkset Clown;4002299996398;2.35
799640;Aqua Schminkset Einhorn;4002299996404;2.35
799641;Aqua Schminkset Prinzessin;4002299996411;2.35
799660;Aqua Schminksets Display;4002299996602;282
799666;Schminkbuch Jofrika;4002299996664;4.5
