Artikelnummer;Bezeichnung;Netto;EAN
F514408;GIOTTO Pongo Plastillin 450 g hellgrün;1,330.00;8000144000586
F514409;GIOTTO Pongo Plastillin 450 g rosa;1,330.00;8000144000623
F514410;GIOTTO Pongo Plastillin 450 g orange;1,330.00;8000144000647
F514412;GIOTTO Pongo Plastillin 450 g hellblau;1,330.00;8000144000661
F514413;GIOTTO Pongo Plastillin 450 g grau;1,330.00;8000144000715
F514414;GIOTTO Pongo Plastillin 450 g violett;1,330.00;8000144000739
F514415;GIOTTO Pongo Plastillin 450 g magenta;1,330.00;8000144000753
F514416;GIOTTO Pongo Plastillin 450 g dunkel braun;1,330.00;8000144000777
F514417;GIOTTO Pongo Plastillin 450 g karminrot;1,330.00;8000144000791
F514500;GIOTTO Pongo 16 x 250 g, farbig sortiert;16,350.00;8000144001170
F516000;GIOTTO Elios Tri 84er Runddose, farbig sortiert;9,650.00;8000825007934
F516100;GIOTTO Stilnovo Acquarell C48;13,310.00;8000825516108
F516300;GIOTTO Stilnovo 48er Runddose, farbig sortiert;8,710.00;8000825516306
F516500;GIOTTO Stilnovo hex Farbstift C84 sortiert;13,550.00;8000825516504
F516800;GIOTTO Turbo Glitter Fasermaler C72;27,050.00;8000825007804
F516900;GIOTTO Colors 3.0 Farbstift C84;10,200.00;8000825012471
F517000;GIOTTO Elios Giant Woodfree Farbstift Runddose C48;11,220.00;8000825012624
F518000;GIOTTO Mega hex Farbstift C24 gold + silber;11,250.00;8000825518010
F518100;GIOTTO Mega hex Farbstift C48 sortiert;17,250.00;8000825518102
F518200;GIOTTO Mega Tri C36;11,400.00;8000825007880
F519200;GIOTTO Cera Maxi-Kreide R60;9,380.00;8000825519208
F519700;GIOTTO Mega 48er Runddose, farbig sortiert;8,860.00;8000825519703
F520300;GIOTTO Turbo Advanced Runddose mit 72 Stiften (6 x 12 Farben);9,800.00;8000825424304
F520500;GIOTTO Mega hex Farbstift E144;37,450.00;8000825520501
F522100;GIOTTO Cera Schulbox E120;16,630.00;8000825522109
F522400;GIOTTO Turbo Maxi Schoolbox E288;56,000.00;8000825522406
F523000;GIOTTO Turbo Color C96;9,830.00;8000825020230
F523300;GIOTTO Colors 3.0 Farbstift Schulbox E192;25,800.00;8000825009990
F523400;GIOTTO Stilnovo Schulbox E192;32,000.00;8000825004476
F523500;GIOTTO Mega hex Farbstift E108;36,210.00;8000825004452
F523600;GIOTTO Cera Dose C96;9,380.00;8000825001185
F523900;GIOTTO Turbo Advanced Schoolpack mit 108 Stiften (9 x 12 Farben);17,000.00;8000825005756
F524000;GIOTTO Turbo Maxi Schoolbox E108;22,440.00;8000825005855
