Artikelnummer;Bezeichnung;EAN;Netto
19-100050;"Tasse ""Emaille""";4260602033820;5.44
19-100049;"Tasse ""Nadelstreifen""";4260602032861;5.44
19-100048;"Mütze ""NE Greif""";193649929990;13.63
19-100047;"Mütze ""NE 1904""";193649929976;13.63
19-100046;"Mütze Bommel ""NE Wappen rot/weiß""";193649929945;13.63
19-100045;"Mütze Bommel ""NE glow in the dark""";193649929952;13.63
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 1-2";193650058597;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 3-8";193650058634;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7";193650058580;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 1-8";193650058610;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 1-4";193650058603;19.09
19-100043;"Cap ""NE 9FIFTY Sideline"" S/M";193650058566;17.45
19-100043;"Cap ""NE 9FIFTY Sideline"" M/L";193650058559;17.45
19-100041;"Cap ""NE 9FORTY Sportclub""";193650058535;10.89
19-100040;"Cap ""NE 9FORTY Wappen""";193650058528;10.89
19-100039;"Cap ""NE 9FORTY Greif""";193650058542;10.89
19-100038;"Baby Schnuffeltuch ""Füchsle""";4260428991199;7.07
19-100037;Maskottchen Plüsch-Füchsle 30cm;4260428991182;10.9
19-100036;Maskottchen Plüsch-Füchsle 20cm;4260428991175;8.79
19-100035;Maskottchen Plüsch-Füchsle 14cm Saugn.;4260428991168;5.44
19-100034;Maskottchen Plüsch-Füchsle 14cm SA;4260428991151;5.44
19-100033;"Kinder-Cap ""Graffiti""";4260592570718;8.04
19-100032;"Cap ""Metallic Badge""";4260592570701;9.26
19-100031;"Cap ""Stripes""";4260592570695;8.88
19-100030;"Cap ""Frottee""";4260592570688;9.26
19-100029;"Cap ""Greif Allover Red""";4260592570671;8.88
19-100028;"Cap ""Greif Allover Black""";4260592570664;8.88
19-100027;"Cap ""Classic""";4260592570657;8.88
19-100026;"Tasse ""Verlauf""";4061194021635;5.44
19-100025;"Tasse ""Sehenswürdigkeiten""";4061194021628;4.99
19-100024;"Badeschuhe ""Wappen"" 46";4061194023486;8.41
19-100024;"Badeschuhe ""Wappen"" 45";4061194023479;8.41
19-100024;"Badeschuhe ""Wappen"" 44";4061194023462;8.41
19-100024;"Badeschuhe ""Wappen"" 43";4061194023455;8.41
19-100024;"Badeschuhe ""Wappen"" 42";4061194023448;8.41
19-100024;"Badeschuhe ""Wappen"" 41";4061194023431;8.41
19-100024;"Badeschuhe ""Wappen"" 40";4061194023424;8.41
19-100024;"Badeschuhe ""Wappen"" 39";4061194023417;8.41
19-100024;"Badeschuhe ""Wappen"" 38";4061194023400;8.41
19-100024;"Badeschuhe ""Wappen"" 37";4061194023394;8.41
19-100020;"Strickfleece ""SC Freiburg"" 19/20 XXL";4061194021154;29.38
19-100020;"Strickfleece ""SC Freiburg"" 19/20 XL";4061194021147;29.38
19-100020;"Strickfleece ""SC Freiburg"" 19/20 S";4061194021130;29.38
19-100020;"Strickfleece ""SC Freiburg"" 19/20 M";4061194021123;29.38
19-100020;"Strickfleece ""SC Freiburg"" 19/20 L";4061194021116;29.38
19-100020;"Strickfleece ""SC Freiburg"" 19/20 3XL";4061194021161;29.38
19-100019;"Badetuch ""Skyline""";4061194021109;16.36
19-100018;"Duschtuch ""Sirka""";4061194021093;14.23
19-100017;"Handtuch ""Sirka""";4061194021086;8.26
19-100016;"Fleecedecke ""Stadt Collage""";4061194021079;18.06
19-100015;"Klappkissen ""Stammplatz""";4061194021062;7.07
