Artikelnummer;Bezeichnung;EAN;Netto
4060;Ich gehe in Streichelzoo  ;4005556040605;6.55
4061;Meine allerersten Tiere   ;4005556040612;2.95
4062;Mein 1.groß.Gutenacht-Buch;4005556040629;8.9
4063;Unterwegs auf d. Bauernhof;4005556040636;4.75
4065;Alle meine Kullertiere    ;4005556040650;5.35
4066;Mein allererst.Bilderlex. ;4005556040667;5.9
4067;Was passiert im Kindergar.;4005556040674;5.9
4073;Alle meine Sachen         ;4005556040735;5.35
4076;Mein Bauernhof-Schiebebuch;4005556040766;5.9
4080;Mein allererst.Kuschelbuch;4005556040803;6.55
4081;Tiere vom Bauernhof       ;4005556040810;5.35
4082;Kullerbuch: Fahrzeuge     ;4005556040827;5.35
4083;Schau mal, such mal:Tiere ;4005556040834;7.75
4084;Fahr los, kleiner Traktor ;4005556040841;6.55
4085;Los geht's kleine Ente    ;4005556040858;6.55
4086;Tut!Tut! Alle meine Autos ;4005556040865;5.9
4088;Guck mal die Fahrzeuge    ;4005556040889;3.55
4089;Mein allererst.Knabberb.  ;4005556040896;7.75
4091;Fühl mal Bauernhof-Tiere  ;4005556040919;6.55
4092;Anziehen,Ausziehen,Umzieh.;4005556040926;5.9
4094;Was gehört zusammen?      ;4005556040940;10.2
4096;Mein Ri-Ra-Rasselbuch     ;4005556040964;7.75
4097;Alles glitzert,alles glänz;4005556040971;5.9
4098;Hallo kleiner Käfer       ;4005556040988;4.75
4099;Kullernasen-Kinder        ;4005556040995;5.35
4100;Meine allererst.Fahrzeuge ;4005556041008;2.95
4101;Gute Nacht, Locke!        ;4005556041015;4.15
4103;Augen, Bauch und Hände    ;4005556041039;5.35
4104;Meine allererst. Vorleseg.;4005556041046;5.35
4105;Ich mag Früh.,Som.,Herbst ;4005556041053;5.9
4106;Stoff Fotoalbum           ;4005556041060;11.95
4107;Mein erstes Stoffbuch     ;4005556041077;6.55
4108;Was fühlst du hier?       ;4005556041084;5.4
4109;Himpelchen und Pimpelchen ;4005556041091;3.55
4110;Schiebespaß:Alle m.Tiere D;4005556041107;6
4111;Komm spiel mit!           ;4005556041114;7.75
4112;Puste mal!                ;4005556041121;5.4
4113;Auf dem Bauernhof       D;4005556041138;10.2
4114;Meine ersten Bilder       ;4005556041145;6.55
