Lieferantennummer;Artikelnummer;Artikelbezeichnung;EAN-Nummer;Warengruppe;Verpackungseinheit;Rabattgruppe;Mehrwertsteuerschlüssel;Netto-/Grundnettopreis;Unverbindliche VK-Preisempfehlung
4007176;62312;Ferkel;4007176623121;43;6;0;1;1.52;2.99
4007176;62317;Ziegenbock;4007176623176;43;6;0;1;1.98;3.99
4007176;62318;Ziege;4007176623183;43;6;0;1;1.98;3.99
4007176;62319;Geißlein;4007176623190;43;6;0;1;1.52;2.99
4007176;62320;Schaf;4007176623206;43;6;0;1;1.98;3.99
4007176;62321;Alpenkalb Nina;4007176623213;43;6;0;1;1.98;3.99
4007176;62442;Kuh Liesel schwarz/weiss;4007176624425;43;6;0;1;2.68;5.99
4007176;62444;Kuh Liesel braun/weiss;4007176624449;43;6;0;1;2.68;5.99
4007176;62478;Lamm;4007176624784;43;6;0;1;1.52;2.99
4007176;62509;Esel;4007176625095;43;6;0;1;2.68;5.99
4007176;62566;Shetlandpony Stute;4007176625668;43;6;0;1;2.33;4.99
4007176;62567;Stier Manolo;4007176625675;43;6;0;1;2.68;5.99
4007176;62609;Kuh Fanny schwarz/weiss;4007176626092;43;6;0;1;2.68;5.99
4007176;62610;Kuh Fanny braun/weiss;4007176626108;43;6;0;1;2.68;5.99
4007176;62615;Alpenkuh Darina;4007176626153;43;6;0;1;3.1;6.99
4007176;62616;Reiterin Nina;4007176626160;43;6;0;1;2.68;5.99
4007176;62621;Knabstrupper Hengst;4007176626214;43;6;0;1;3.1;6.99
4007176;62624;Alpenstier Peter;4007176626245;43;6;0;1;3.1;6.99
4007176;62630;Kalb Mona braun/weiss;4007176626306;43;6;0;1;1.98;3.99
4007176;62633;Alpenkuh Lara;4007176626337;43;6;0;1;3.1;6.99
4007176;62640;Turnierreiterin Isabelle;4007176626405;43;6;0;1;2.68;5.99
4007176;62643;Reitermädchen Emily;4007176626436;43;6;0;1;1.98;3.99
4007176;62657;Paint Horse Stute;4007176626573;43;6;0;1;3.1;6.99
4007176;62658;Trakehner Wallach;4007176626580;43;6;0;1;3.1;6.99
4007176;62665;Shire Horse Fohlen;4007176626658;43;6;0;1;2.33;4.99
4007176;62666;Shire Horse Wallach;4007176626665;43;6;0;1;3.1;6.99
4007176;62673;Knabstrupper Fohlen;4007176626733;43;6;0;1;2.33;4.99
4007176;62674;Oldenburger Wallach;4007176626740;43;6;0;1;3.1;6.99
4007176;62676;Lewitzer Stute;4007176626764;43;6;0;1;2.68;5.99
4007176;62677;Araber Stute;4007176626771;43;6;0;1;3.1;6.99
4007176;62678;Paint Horse Fohlen;4007176626788;43;6;0;1;2.33;4.99
4007176;62680;Trakehner Fohlen;4007176626801;43;6;0;1;2.33;4.99
4007176;62682;Hannoveraner Hengst;4007176626825;43;6;0;1;3.1;6.99
4007176;62693;Westfalen Hengst;4007176626931;43;3;0;1;3.78;7.99
4007176;62696;Haflinger Stute;4007176626962;43;6;0;1;3.1;6.99
4007176;62709;Kalb Fridolin schwarz/weiss;4007176627099;43;6;0;1;1.98;3.99
4007176;62710;Kalb Fridolin braun/weiss;4007176627105;43;6;0;1;1.98;3.99
4007176;62720;Westfalen Stute;4007176627204;43;3;0;1;3.78;7.99
4007176;62726;Pferdemädchen Marie;4007176627266;43;6;0;1;2.33;4.99
4007176;62727;Bauer Andreas;4007176627273;43;6;0;1;2.68;5.99
4007176;62728;Reiterin Julia;4007176627280;43;6;0;1;2.68;5.99
4007176;62729;Alpenkalb Mona;4007176627297;43;6;0;1;1.52;2.99
4007176;62731;Araber Hengst;4007176627310;43;3;0;1;3.78;7.99
4007176;62740;Alpenkuh Liesel;4007176627402;43;6;0;1;2.68;5.99
4007176;62754;Alpenkalb Benni;4007176627549;43;6;0;1;1.98;3.99
4007176;62755;Steinbock;4007176627556;43;6;0;1;2.33;4.99
4007176;62757;Friesen Stute;4007176627570;43;3;0;1;3.78;7.99
4007176;62758;Norwegischer Fjord Hengst;4007176627587;43;3;0;1;3.78;7.99
4007176;62759;Tinker Stute;4007176627594;43;3;0;1;3.78;7.99
4007176;62760;Island Stute;4007176627600;43;3;0;1;3.78;7.99
4007176;62761;Palomino Fohlen;4007176627617;43;6;0;1;2.33;4.99
4007176;62762;Palomino Stute;4007176627624;43;3;0;1;3.78;7.99
