Artikelnummer;EAN;Bezeichnung;Netto
38826;4001190388264;Hase Patchwork Sweety;14.5
38828;4001190388288;Frosch Grini Greenwich gr;19.05
38829;4001190388295;Frosch Grini Greenwich kl;11.9
38830;4001190388301;Löwe Silvio Savanne groß;19.05
38831;4001190388318;Löwe Silvio Savanne klein;11.9
38834;4001190388349;Wärmekissen Frosch Sweety;11.9
38838;4001190388387;Hund Glen Glattstett klei;11.9
38844;4001190388448;Faultier Patchwork Sweety;16.7
38845;4001190388455;Esel Patchwork Sweety;16.7
38846;4001190388462;Koala Patchwork Sweety;14.5
38847;4001190388479;Schnuller-Schnuffeltuch H;10.95
38848;4001190388486;Schnuller-Schnuffeltuch H;10.95
38849;4001190388493;Kuschelwichtel blau Green;11.9
38850;4001190388509;Schnuffelt. Wichtelchen b;13.35
38852;4001190388523;Kuschelwichtel pink Green;11.9
38853;4001190388530;Schnuffelt. Wichtelchen p;13.35
38864;4001190388646;Fuchs Patchwork Sweety;14.5
38865;4001190388653;Schaf Patchwork Sweety;14.5
38866;4001190388660;Bär Patchwork Sweety;14.5
38869;4001190388691;Einhorn rosa Patchwork Sw;14.5
38873;4001190388738;Bär XXL Patchwork Sweety;57.5
38874;4001190388745;Drache XXL Patchwork Swee;57.5
38875;4001190388752;Mini Schaf Ach Good! & Fr;11.9
38876;4001190388769;Mini Fuchs Ach Good! & Fr;11.9
38877;4001190388776;Mini Maus Ach Good! & Fri;11.9
38878;4001190388783;Mini Katze Ach Good! & Fr;11.9
38879;4001190388790;Mini Schwein Ach Good! &;11.9
38880;4001190388806;Mini Frosch Ach Good! & F;11.9
38881;4001190388813;Mini Hase Ach Good! & Fri;11.9
38884;4001190388844;Einhorn Patchwork Sweety;16.7
38885;4001190388851;Schnuffeltuch Schaf Green;13.35
38887;4001190388875;Spieluhr Schaf Green;16.7
38888;4001190388882;Schaf Ach Good! & Friends;19.05
38889;4001190388899;Fuchs Ach Good! & Friends;19.05
38920;4001190389209;Maus Ach Good! & Friends;19.05
38921;4001190389216;Katze Ach Good! & Friends;19.05
38922;4001190389223;Schwein Ach Good! & Frien;19.05
38923;4001190389230;Frosch Ach Good! & Friend;19.05
38924;4001190389247;Hase Ach Good! & Friends;19.05
38925;4001190389254;Bär rost Ach Good! & Frie;19.05
38926;4001190389261;Mini Bär r. Ach Good! & F;11.9
38927;4001190389278;Bär weiß Ach Good! & Frie;19.05
38928;4001190389285;Mini Bär w. Ach Good! & F;11.9
38929;4001190389292;Casual Friday BeastsTown;26.2
38931;4001190389315;Rattle Battle BeastsTown;23.8
38933;4001190389339;Taco Tuesday BeastsTown;19.05
38934;4001190389346;Always in your arms Beast;23.8
38935;4001190389353;Forever Together BeastsTo;23.8
38936;4001190389360;Paradise Paul BeastsTown;21.45
38937;4001190389377;Lady Hoo BeastsTown;19.05
38938;4001190389384;Dear Didi L BeastsTown;16.7
38939;4001190389391;Barn Balthasar BeastsTown;23.8
38940;4001190389407;Taste of Tropics BeastsTo;23.8
38941;4001190389414;Flying French BeastsTown;21.45
38942;4001190389421;Cabin Fever BeastsTown;23.8
38944;4001190389445;Papa Gallo BeastsTown;23.8
38945;4001190389452;Head Up BeastsTown;26.2
38947;4001190389476;Auf der Mauer BeastsTown;21.45
38948;4001190389483;Auf der Lauer BeastsTown;21.45
38949;4001190389490;Biber Patchwork Sweety;14.5
38955;4001190389551;Anhänger Raupe Green;10.95
38956;4001190389568;Anhänger Schmetterling Gr;10.95
38957;4001190389575;Anhänger Elefant Green;8.6
38958;4001190389582;Mini Fuchs Green;11.9
38959;4001190389599;Mini Krokodil Green;11.9
38960;4001190389605;Mini Eisbär Green;11.9
38961;4001190389612;Mini Bär Green;11.9
38962;4001190389629;Waschbär Patchwork Sweety;14.5
38975;4001190389759;Handpuppe Fuchs Soft Play;19.05
38978;4001190389780;Handpuppe Kroko Soft Play;19.05
38979;4001190389797;Eichhörnchen Patchwork Sw;11.9
38980;4001190389803;Milk on the Fields, Beast;23.8
38982;4001190389827;Mini Igel Patchwork Sweet;14.5
38984;4001190389841;Kuscheltier Maus Green;22.85
38985;4001190389858;Kuscheltier Krokodil Gree;22.85
38986;4001190389865;Kuscheltier Fuchs Green;22.85
38991;4001190389919;Rentier XL Patchwork Swee;16.7
38992;4001190389926;Dachs XL Patchwork Sweety;16.7
