Artikelnummer;Artikelbezeichnung;EAN;Netto
3311863;Verkehrsampel Try ME         ;8713219245453;2.49
3314226;Skybuster Flugzeug           ;26676689820;3.43
3331806;Hot Wheels 5er Geschenk-     ;74299018060;7.15
3335785;Hot Wheels 1:64 Sortiment    ;74299057854;1.43
3335904;Hot Wheels 3er Geschenk-     ;27084425611;4.29
3340860;Snowmobil                    ;4006874008605;1.7
3341037;Pistenbully                  ;4006874010370;2.35
3341047;Motorrad BMW R1200 GS        ;4006874010479;2.35
3341068;Unimog Feuerwehr             ;4006874010684;2.35
3341302;Smart Polizei                ;4006874013029;2.74
3341309;Winterdienst                 ;4006874013098;2.74
3341312;Rasentraktor                 ;4006874013128;2.74
3341324;Case IH Quadtrac 600         ;4006874013241;2.74
3341331;Milchsammelwagen             ;4006874013319;2.74
3341401;Polizei Streifenwagen        ;4006874014019;3.15
3341444;Gumpert Apollo18             ;4006874014446;3.15
3341467;Pick Up Bergrettung          ;4006874014675;3.15
3341629;PKW mit Wohnanhänger         ;4006874016297;5
3341636;Unimog Feuerwehr m. Boot     ;4006874016365;5
3341646;Nahverkehrszug               ;4006874016464;5
3341647;Helikopter                   ;4006874016471;5
3341652;John Deere Harvester         ;4006874016525;5
3341659;Holz-Transport-LKW           ;4006874016594;5
3341661;Feuerwehr Set                ;4006874016617;5
3341665;John Deere Traktor mit       ;4006874016655;5
3341667;Abschleppwagen mit PKW       ;4006874016679;5
3342936;Kehrmaschine                 ;4006874029365;5.17
3346281;5er Geschenkeset 2           ;4006874062812;8.2
3346282;5er Geschenkeset 3           ;4006874062829;8.2
3370801;Bagger                       ;4006874008018;1.7
3370802;Frontlader                   ;4006874008025;1.7
3370804;Polizeibus                   ;4006874008049;1.7
3370805;Krankenwagen                 ;4006874008056;1.7
3370807;Polizei-Hubschrauber         ;4006874008070;1.7
3370811;Müllwagen                    ;4006874008117;1.7
3370817;Space Shuttle                ;4006874008179;1.7
3370828;Recycling-Transporter        ;4006874008285;1.7
3370856;Rettungshubschrauber         ;4006874008568;1.7
3370857;Verkehrszeichen              ;4006874008575;1.7
3370858;Fendt Favorit 926 Var        ;4006874008582;1.7
3371015;Feuerwehr Drehleiter         ;4006874010158;2.35
3371034;Tanklöschfahrzeug            ;4006874010349;2.35
3371085;Postwagen                    ;4006874010851;2.35
3371322;Lkw mit Verkehrszei.         ;4006874013227;2.74
3371350;Polizei-Mannschaftswagen     ;4006874013500;2.74
3371360;Grossraumtaxi                ;4006874013609;2.74
3371610;Tieflader m.Hubschrauber     ;4006874016105;5
3371613;Tieflader mit Boot           ;4006874016136;5
3371614;Tieflader mit Rakete         ;4006874016143;5
3371616;Tieflader m.Frontlader       ;4006874016167;5
3371617;Gelenkbus                    ;4006874016174;5
3371623;Mega Lifter                  ;4006874016235;5
3371626;Tanksattelzug                ;4006874016266;5
3390085;Pylonen, 4 Stück             ;4005998761052;2.89
3589003;GoGo Wasser-Boote            ;4002129090036;0.73
4000635;Kinzel Oball Ø ca.10cm       ;834282000249;4.8
4001168;Friktionsfahrzeuge Baby      ;4002129101688;2.68
4001169;Friktionsfahrzeuge Baby      ;4002129101695;3.41
4120508;Lego Duplo Eisenbahn         ;5702015153584;83.49
4122304;Lego Duplo Große             ;5702015989480;7.94
4330031;Schleich Dinosaurs           ;4005086145252;11.25
4332104;Schleich Horse Club          ;4005086421042;12.1
4332111;Schleich Horse Club          ;4005086421110;8.7
4332112;Schleich Horse Club          ;4005086421127;8.7
4333734;Schleich Farm World          ;4005086137349;5.25
4333735;Schleich Farm World          ;4005086137356;5.25
4333746;Schleich Farm World          ;4005086137462;2.2
4333749;Schleich Horse Club          ;4005086137493;4.32
4333756;Schleich Horse Club          ;4005086137561;4.32
4333757;Trakehner Stute              ;4005086137578;2.59
4333758;Schleich Horse Club          ;4005086137585;2.78
4333760;Knabstrupper Fohlen          ;4005086137608;1.67
4333762;Schleich Horse Club          ;4005086137622;2.78
4334601;Schleich Wild Life           ;4005086146013;2.78
4334671;Schleich Wild Life           ;4005086146716;3.38
4334685;Schleich Wild Life           ;4005086146853;4.32
4334708;Schleich Wild Life           ;4005086147089;2.2
4336395;Schleich Farm World          ;4005086163959;2.78
4336396;Schleich Farm World          ;4005086163966;2.2
4336397;Schleich Farm World          ;4005086163973;2.78
4502058;Spielgeldkarte               ;4007464002058;2.39
4520002;Euro Spielgeld               ;4006592486471;1.75
4524502;Euro Spielgeld               ;4008332450230;1.95
5002110;Puppen Unterwäsche           ;4001949021107;3.95
5002315;Jeans mit Streifenshirt      ;4001949023156;6.95
5500760;Strumpfhose mit Söckchen     ;4001949707605;4.08
5502050;Puppen Rock mit Pullover     ;4001949020506;6.95
5522265;Puppen Nachthemd             ;4001949022654;5.3
5560360;Puppen Milchflasche          ;4008332503608;1.55
5568998;Puppenwindeln 3 Stück        ;4001949003356;1.3
5720875;Puppen Strumpfhose mit       ;4001949708756;4.45
5721224;Puppenkleid Happy            ;4001949012242;5.75
5721277;Puppenmantel Gr.28-35cm      ;4001949012778;6.45
5763806;Glow in The Dark Tiere       ;4008332638065;0.75
5771019;Yakari auf Kleiner Donner    ;4007176433553;3.19
5801890;Plüsch Elefant 16cm          ;4001504421892;7.95
5802188;Plüsch die Maus 25cm         ;4001504421885;7.95
5806503;Slush Clip Hund              ;0;1.99
5806505;Waddles Clip Pinguin         ;0;1.99
5806989;Plüsch Schildkröte Zippy     ;8421369898;6.45
6060007;Jonglierball Kunstleder      ;4029811253289;0.64
6063002;Yo-Yo Duncan Dragon Fly      ;4041268300026;1.5
6063040;Yo-Yo Duncan Bumble Bee      ;4041268300040;1.5
6100075;Idena Würfelhit 3 Blöcke     ;4002372001902;2
6100080;Idena Würfelhit 2 Blöcke     ;4002372080006;2
6100292;Neumond Erweiterung zu       ;3558380003915;5.99
6100390;Die Werwölfe vom             ;3558380003908;5.99
6100862;Mogel Motte                  ;4001504408626;6.4
6100960;Kartenspiel Dobble           ;3558380006770;7.99
6101132;DA Ist der Wurm Drin         ;4015682321004;16.2
6101159;Activity-Kompakt             ;9001890600265;10.3
6101160;Activity Junior              ;9001890601248;17.3
6101220;MBS Bingo                    ;4001504512200;4.3
6101245;MBS Kniffel Kids             ;4001504512453;4.3
6101570;Ravensburger Kinderspiel     ;4005556215706;11.35
6104015;Qwixx Würfelspiel            ;4012426880179;4.55
6104334;Tabu Junior                  ;5010994593940;17.56
6106041;Spiel Activity Travel        ;9001890604102;6.55
6106261;Spiel Tabu                   ;5010994723705;15.7
6107060;Dixit                        ;3760032260076;17.99
6107571;Rummikub mit Timer           ;8710126175712;19.44
6108311;Spiel Twister                ;5010994640514;14.06
6110001;Zicke Zacke Hühnerkacke      ;4015682199818;16.2
6200071;Romme Stülpschachtel         ;4042677700711;2.59
6201710;Munchkin Basisset            ;4250231703669;9.72
6208122;Kartenspiel Hanabi           ;4011898081220;4.29
6221882;Skip BO Junior               ;27084877977;8.46
6222087;Spiel Uno Original NEU       ;746775036744;4.99
6222370;Spiel Skip Bo                ;5011363523704;9.99
6222456;Spiel Uno Junior             ;5011363524565;5.35
6229364;Uno Extreme Neuauflage       ;746775016968;31.96
6229598;Scrabble Original            ;746775260743;19.91
6250076;Romme Senioren               ;4042677700766;4.9
6260013;Doppelkopf französ. Bild     ;4042677700230;1.5
6261101;Spiel Ligretto grün          ;4001504012014;5.9
6261201;Spiel Ligretto blau          ;4001504011017;5.9
6261301;Spiel Ligretto rot           ;4001504013011;5.9
6300303;Lupendose zum Umhängen       ;4002129103033;0.49
6300304;Lupendose zum Umhängen       ;4002129103040;0.97
6302392;Profi Fernglas grün          ;4002129423926;4.38
6302395;Pfiffikus Piratenfernrohr    ;4002129423957;5.36
6302417;Pfiffikus Taschenmesser      ;4002129424176;3.85
6302426;Kinderschnitzmesser          ;4002129424268;7.3
6302433;Pfiffikus Stoppuhr+Pfeife    ;4002129424336;4.38
6302444;LED Stirnlampe               ;4002129424442;3.65
6329105;Playmais Basic Medium        ;4041077000926;3.99
