Artikelnummer;Artikelbezeichnung;EAN;Netto
39190;Greifling Frosch Green       ;4001190391905;8.6
39191;Schnuffelt. Eisbär Green     ;4001190391912;13.35
39192;Greifling Eisbär Green       ;4001190391929;8.6
39193;Fuchs Patchwork Sweety       ;4001190391936;16.7
39194;Schnuffeltuch Waschbär ro    ;4001190391943;11.9
39195;Schnuffeltuch Waschbär bl    ;4001190391950;11.9
39196;Hund Patchwork Sweety        ;4001190391967;16.7
39197;Bär Sweety                   ;4001190391974;19.05
39198;Weh Weh Wasp- Beasts         ;4001190391981;21.45
39199;Schnuffeltuch Maus Signature ;4001190391998;11.9
39200;Spieluhr Maus Signature      ;4001190392001;16.7
39201;Greifling Maus Signature     ;4001190392018;8.6
39202;Silly Duck SB-Patchwork      ;4001190392025;16.7
39203;Schnuffeltuch Wolf Signature ;4001190392032;11.9
39204;Spieluhr Wolf Signature      ;4001190392049;16.7
39205;Greifling Wolf Signature     ;4001190392056;8.6
39206;Bär Patchwork Sweety         ;4001190392063;14.5
39207;Marienkäfer Gadgets          ;4001190392070;7.15
39208;Biene Gadgets                ;4001190392087;7.15
39209;Schmetterling Gadgets        ;4001190392094;7.15
39210;Grashüpfer Gadges            ;4001190392100;7.15
39213;Löwe Patchwork Sweety        ;4001190392131;16.7
39214;Hase Patchwork Sweety        ;4001190392148;16.7
39215;Schaf Patchwork Sweety       ;4001190392155;14.5
39217;Spieluhr Hügge Hug           ;4001190392179;15.75
39218;Greifling Hügge Hug          ;4001190392186;7.15
39219;Schnuffeltuch Hügge Hug      ;4001190392193;10.95
39220;Nackenkissen Hügge Hug       ;4001190392209;9.55
39221;Handpuppe Hügge Hug          ;4001190392216;14.5
39222;Mini-Schnuffelt Hügg Hug     ;4001190392223;8.6
39226;Hund Sweety                  ;4001190392261;19.05
39227;Elefant Sweety               ;4001190392278;19.05
39228;Katze Sweety                 ;4001190392285;19.05
39229;Schnuffeltuch Schaf Green    ;4001190392292;13.35
39230;Mini Schnuff. Schaf Green    ;4001190392308;9.55
39231;Greifling Schaf Green        ;4001190392315;8.6
39232;Spieluhr Schaf Green         ;4001190392322;16.7
39233;Spieluhr Forest Fox          ;4001190392339;15.75
39234;Schnuffeltuch Forest Fox     ;4001190392346;10.95
39235;Handpuppe Forest Fox         ;4001190392353;14.5
39236;Greifling Forest Fox         ;4001190392360;7.15
39237;Mini-Schnuffeltuch Forest    ;4001190392377;8.6
39238;Greifring Forest Fox         ;4001190392384;8.6
39239;Spieluhr Boller Schäfle      ;4001190392391;15.75
39240;Schnuffelt Boller Schäfle    ;4001190392407;10.95
39241;Handpuppe Boller Schäfle     ;4001190392414;14.5
39242;Greifling Boller Schäfle     ;4001190392421;7.15
39243;Mini Schnuffeltuch Boller    ;4001190392438;8.6
39244;Greifring Boller             ;4001190392445;8.6
39245;Handpuppe Lolo Lombardo      ;4001190392452;14.5
39246;Greifling Lolo Lombardo      ;4001190392469;7.15
39247;Mini-Schnuffeltuch Lolo      ;4001190392476;8.6
39248;Greifring Lolo               ;4001190392483;8.6
39249;Schnuffeltuch Hoppe Dot      ;4001190392490;10.95
39250;Spieluhr Hoppe Dot           ;4001190392506;15.75
39251;Handpuppe Hoppe Dot          ;4001190392513;14.5
39252;Greifling Hoppe Dot          ;4001190392520;7.15
39253;Mini-Schnuffeltuch Hoppe     ;4001190392537;8.6
39254;Greifring Hoppe Dot          ;4001190392544;8.6
39255;Greifling Flecken Frog       ;4001190392551;7.15
39256;Spieluhr Flecken Frog        ;4001190392568;15.75
39257;Handpuppe Flecken Frog       ;4001190392575;14.5
39265;Spieluhr Semmel Bunny        ;4001190392650;15.75
39266;Handpuppe Semmel Bunny       ;4001190392667;14.5
39267;Greifling Semmel Bunny       ;4001190392674;7.15
39268;Mini-Schnuffeltuch Semmel    ;4001190392681;8.6
39269;Greifring Semmel             ;4001190392698;8.6
39270;Schnuffelt. Rosalie Rose     ;4001190392704;10.95
39271;Spieluhr Rosalie Rose        ;4001190392711;15.75
39272;Handpuppe Rosalie Rose       ;4001190392728;14.5
39273;Greifling Rosalie Rose       ;4001190392735;7.15
39274;Mini-Schnuffelt. Rosalie     ;4001190392742;8.6
39275;Greifring Rosalie            ;4001190392759;8.6
39276;Handpuppe Schnuggi           ;4001190392766;14.5
39277;Greifling Schnuggi           ;4001190392773;7.15
39278;Mini-Schnuffelt. Schnuggi    ;4001190392780;8.6
39279;Greifring Schnuggi           ;4001190392797;8.6
39280;Nackenkissen Boller          ;4001190392803;9.55
39281;Nackenkissen Rosalie Rose    ;4001190392810;9.55
39282;Nackenkissen Forest Fox      ;4001190392827;9.55
39283;Nackenkissen Hoppe Dot       ;4001190392834;9.55
39284;Alpaka Patchwork             ;4001190392841;14.5
39285;Ente Patchwork               ;4001190392858;14.5
39286;Kroko Patchwork              ;4001190392865;14.5
39288;Schwein Patchwork            ;4001190392889;14.5
39290;Hase Patchwork Sweety        ;4001190392902;14.5
39291;Panther Patchwork Sweety     ;4001190392919;14.5
39292;Greifring Flecken Frog       ;4001190392926;8.6
39293;Schnullerband Forest Fox     ;4001190392933;4.8
39294;Schnullerband Boller         ;4001190392940;4.8
39295;Schnullerband Lolo           ;4001190392957;4.8
39296;Schnullerband Hoppe Dot      ;4001190392964;4.8
39297;Schnullerband Semmel         ;4001190392971;4.8
